gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	anum	num	min	lower_hinge	median	upper_hinge	max	mean	clusterID
ARPC3	1.00100991408197e-110	-0.520558915767693	0.517	0.683	1.99851629346464e-106	1613	850	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	1.94591014905531	0.873297100429643	0
ARRB2	9.14699416080058e-67	-0.30100260076011	0.05	0.209	1.82619738420384e-62	1613	86	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	1.38629436111989	0.731470865048368	0
ASPN	1.17071366363347e-23	-0.31383901480717	0.109	0.176	2.33732982944423e-19	1613	169	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	1.79175946922805	0.81690803258713	0
ATP5E	4.02128764437938e-156	-0.517563182393645	0.851	0.938	8.02850078200342e-152	1613	1420	0.693147180559945	1.09861228866811	1.09861228866811	1.6094379124341	2.70805020110221	1.25448190509474	0
ATP5G2	1.21771260781679e-152	-0.479229042793567	0.554	0.78	2.43116322150622e-148	1613	933	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	1.94591014905531	0.900028958170074	0
ATP5L	4.98087063977967e-81	-0.317398656166304	0.719	0.837	9.94430823232011e-77	1613	1178	0.693147180559945	0.693147180559945	1.09861228866811	1.09861228866811	1.94591014905531	1.01806819816502	0
ATRAID	1.11151787077603e-82	0.298628294699575	0.669	0.463	2.21914542900434e-78	1613	1038	0.693147180559945	0.693147180559945	1.09861228866811	1.09861228866811	2.19722457733622	0.993032105810221	0
AXL	3.52057655060335e-106	0.313909543852662	0.551	0.249	7.02883108327959e-102	1613	953	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	2.39789527279837	0.993603417913096	0
B2M	3.17538166890267e-299	-0.864838014684704	0.999	1	6.33964950196418e-295	1613	1612	0.693147180559945	2.30258509299405	2.63905732961526	2.99573227355399	4.4188406077966	2.63084550369759	0
BCAM	7.44519583643595e-166	-0.663199137453148	0.035	0.342	1.48643334874444e-161	1613	75	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	2.07944154167984	0.793963300271967	0
BDH2	2.54469386708925e-166	0.354437527287978	0.501	0.17	5.08048130564369e-162	1613	731	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	1.94591014905531	0.830546987228719	0
BGN	3.1751208844207e-113	-0.474069401816332	0.608	0.397	6.33912884574593e-109	1613	899	0.693147180559945	0.693147180559945	1.09861228866811	1.6094379124341	3.04452243772342	1.21133305912425	0
BICC1	0	0.689736513323716	0.629	0.081	0	1613	990	0.693147180559945	0.693147180559945	1.09861228866811	1.09861228866811	2.30258509299405	1.00547613748599	0
BNIP3L	4.74530784587453e-236	0.515721771693335	0.732	0.349	9.47400711428851e-232	1613	1130	0.693147180559945	0.693147180559945	1.09861228866811	1.38629436111989	2.07944154167984	1.04440698219831	0
BOC	2.40402812794668e-193	0.274387962322683	0.286	0.03	4.79964215744555e-189	1613	391	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	1.79175946922805	0.784637561623367	0
BST2	2.15961282859464e-71	-0.35554782110387	0.191	0.425	4.31166701228921e-67	1613	329	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	1.94591014905531	0.921479008869849	0
BTF3	1.21435797397415e-76	-0.296524439505885	0.875	0.911	2.42446569503939e-72	1613	1441	0.693147180559945	1.09861228866811	1.38629436111989	1.6094379124341	2.19722457733622	1.25809837320402	0
BTG1	4.35143142532806e-106	-0.605991487775251	0.468	0.692	8.68763284066747e-102	1613	738	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	3.29583686600433	0.975558757231004	0
BTG2	4.56369415161662e-242	0.769321044646457	0.738	0.399	9.11141537370258e-238	1613	1175	0.693147180559945	0.693147180559945	1.38629436111989	1.79175946922805	3.2188758248682	1.3789752549756	0
BTG3	2.61610579068815e-89	0.279121213803421	0.477	0.222	5.22305521110889e-85	1613	790	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	1.94591014905531	0.877123245807474	0
BZW1	2.46291680203109e-145	0.423613458730268	0.748	0.454	4.91721339525506e-141	1613	1224	0.693147180559945	0.693147180559945	1.09861228866811	1.38629436111989	2.70805020110221	1.12817682061458	0
C10orf10	5.06808108431691e-40	0.575829556472713	0.37	0.22	1.01184238848387e-35	1613	618	0.693147180559945	0.693147180559945	1.38629436111989	2.30258509299405	4.47733681447821	1.63173005057243	0
C11orf96	4.80985816498244e-166	0.612426361363433	0.676	0.294	9.60288182638743e-162	1613	1147	0.693147180559945	1.09861228866811	1.38629436111989	1.94591014905531	3.76120011569356	1.49307446585207	0
C12orf57	2.20426528863147e-86	0.273892517094869	0.764	0.486	4.40081564875274e-82	1613	1198	0.693147180559945	0.693147180559945	1.09861228866811	1.38629436111989	2.19722457733622	1.08808523479723	0
C12orf75	7.6278113313609e-100	-0.502968271648075	0.039	0.252	1.5228925323062e-95	1613	100	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	1.6094379124341	0.787978920592792	0
C16orf89	2.19613784970321e-267	0.426327775496944	0.32	0.022	4.38458921693245e-263	1613	458	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	2.07944154167984	0.93369906122941	0
C1orf162	7.02752053926482e-93	-0.509319238789857	0.024	0.212	1.40304447566422e-88	1613	32	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	1.94591014905531	0.773600893324873	0
C1QA	1.34411462862726e-85	-1.60807925712813	0.108	0.282	2.68352485605433e-81	1613	165	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	2.89037175789616	0.835486496928055	0
C1QB	1.19773921371752e-89	-1.61221456346352	0.086	0.274	2.39128634018702e-85	1613	143	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	2.89037175789616	0.822171516015206	0
C1QC	2.2904771326364e-96	-1.45359418304738	0.049	0.233	4.57293759530858e-92	1613	88	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	2.77258872223978	0.819242116157372	0
C1R	0	1.84102698493415	0.999	0.411	0	1613	1602	0.693147180559945	2.484906649788	2.94443897916644	3.25809653802148	4.11087386417331	2.82438122429519	0
